,PosX,PosY,SteeringAngle,Throttle,Brake,Psi
111,-306.53070099999997,-411.973114,0.007965,0.0,0.0,-179.289963
112,-306.601624,-411.973969,0.007965,0.0,0.0,-179.278366
113,-306.67834500000004,-411.974884,0.007965,0.0,0.0,-179.265854
114,-306.750427,-411.975769,0.007965,0.0,0.0,-179.254105
115,-306.82824700000003,-411.976746,0.007965,0.0,0.0,-179.241409
116,-306.89941400000004,-411.9776,0.007965,0.0,0.0,-179.229782
117,-306.97653199999996,-411.978638,0.007965,0.0,0.0,-179.217194
118,-307.052216,-411.979614,0.007965,0.0,0.0,-179.204849
119,-307.127472,-411.980621,0.007965,0.0,0.0,-179.192566
120,-307.201508,-411.981598,0.007965,0.0,0.0,-179.18048100000001
121,-307.277832,-411.982635,0.007965,0.0,0.0,-179.16803000000002
122,-307.349304,-411.983612,0.007965,0.0,0.0,-179.156342
123,-307.427917,-411.98474100000004,0.007965,0.0,0.0,-179.14353899999998
124,-307.50125099999997,-411.985779,0.007965,0.0,0.0,-179.131546
125,-307.575836,-411.986877,0.007965,0.0,0.0,-179.1194
126,-307.649017,-411.987946,0.007965,0.0,0.0,-179.10746799999998
127,-307.72412099999997,-411.989044,0.007965,0.0,0.0,-179.095215
128,-307.79650899999996,-411.990143,0.007965,0.0,0.0,-179.083405
129,-307.87493900000004,-411.991333,0.007965,0.0,0.0,-179.070618
130,-307.95471200000003,-411.992554,0.007965,0.0,0.0,-179.057587
131,-308.03131099999996,-411.993744,0.007965,0.0,0.0,-179.045059
132,-308.11087000000003,-411.995026,0.000122,0.0,0.0,-179.03208899999998
133,-308.184357,-411.996216,0.000122,0.0,0.0,-179.020081
134,-308.260284,-411.997406,0.000122,0.0,0.0,-179.00972
135,-308.337311,-411.998657,0.000122,0.0,0.0,-179.000885
136,-308.412109,-411.999908,0.000122,0.0,0.0,-178.993652
137,-308.486511,-412.00116,0.000122,0.0,0.0,-178.987579
138,-308.562164,-412.00244100000003,0.000122,0.0,0.0,-178.98239099999998
139,-308.643188,-412.00390600000003,0.000122,0.0,0.0,-178.977768
140,-308.71810899999997,-412.005188,0.000122,0.0,0.0,-178.974121
141,-308.792236,-412.0065,0.000122,0.0,0.0,-178.971115
142,-308.865997,-412.00784300000004,0.000122,0.0,0.0,-178.968521
143,-308.941956,-412.009247,0.000122,0.0,0.0,-178.966293
144,-309.01416,-412.010529,0.000122,0.0,0.0,-178.964478
145,-309.092987,-412.011932,0.000122,0.0,0.0,-178.962784
146,-309.16854900000004,-412.013306,0.000122,0.0,0.0,-178.96138
147,-309.25,-412.01483199999996,0.000122,0.0,0.0,-178.960159
148,-309.323151,-412.01617400000003,0.000122,0.0,0.0,-178.959137
149,-309.398163,-412.017517,0.000122,0.0,0.0,-178.95829799999998
150,-309.548492,-412.020294,0.000122,0.0,0.0,-178.956894
151,-309.548492,-412.020294,0.000122,0.0,0.0,-178.956894
152,-309.708984,-412.023285,0.000122,0.0,0.0,-178.955734
153,-309.708984,-412.023285,0.000122,0.0,0.0,-178.955734
154,-309.856506,-412.02597000000003,0.000122,0.0,0.0,-178.954849
155,-309.931305,-412.027374,0.000122,0.0,0.0,-178.954483
156,-309.931305,-412.027374,0.000122,0.0,0.0,-178.954483
157,-310.005432,-412.028748,0.000122,0.0,0.0,-178.954178
158,-310.080414,-412.030121,0.000122,0.0,0.0,-178.953873
159,-310.155792,-412.031525,0.000122,0.0,0.0,-178.953552
160,-310.232483,-412.03292799999997,0.000122,0.0,0.0,-178.953278
161,-310.306061,-412.034241,0.000122,0.0,0.0,-178.953018
162,-310.380951,-412.03564500000005,0.000122,0.0,0.0,-178.952774
163,-310.45459,-412.036987,0.000122,0.0,0.0,-178.95259099999998
164,-310.528717,-412.038361,0.000122,0.0,0.0,-178.952347
165,-310.60699500000004,-412.039795,0.000122,0.0,0.0,-178.95211799999998
166,-310.68045,-412.041168,0.000122,0.0,0.0,-178.95195
167,-310.755432,-412.04254199999997,0.000122,0.0,0.0,-178.951752
168,-310.830109,-412.043884,0.000122,0.0,0.0,-178.951553
169,-310.903748,-412.045227,0.000122,0.0,0.0,-178.95134
170,-310.981171,-412.046631,0.000122,0.0,0.0,-178.95117199999999
171,-311.06097400000004,-412.04812599999997,0.000122,0.0,0.0,-178.950974
172,-311.134369,-412.049438,0.000122,0.0,0.0,-178.950775
